userID,clientID,username,passwordHash,role
U001,C001,alex.kim1,fb857e0077cbcfcc52691a43,buyer
U002,C002,jordan.johnson2,92cbf58e06737dd67e3aec6f,buyer
U003,C003,taylor.lee3,207bc8b23ab7ccad682254df,buyer
U004,C004,morgan.thomas4,0b83b21e3b2991a7e2b38329,buyer
U005,C005,riley.white5,f4a79f19415f6cb29cd6b217,analyst
U006,C006,casey.lewis6,c715e2d9c574791baa919a41,buyer
U007,C007,avery.young7,b023a61dad876b79a63c81f6,buyer
U008,C008,parker.wright8,8bd6372cfd6ad822e31581bc,buyer
U009,C009,drew.baker9,1b7929faf9447157d746c7c8,manager
U010,C010,quinn.carter10,7647827c93efdc8a3d06f315,buyer
U011,C011,harper.roberts11,71b45dd07337a8b8a188e9f6,buyer
U012,C012,emerson.campbell12,fd76074640f877e9cc2fd7bc,buyer
U013,C013,cameron.edwards13,8ed4e5084fbc7fe49e7c68f7,buyer
U014,C014,skyler.nguyen14,2aa961bfcc88dd4901ba4526,buyer
U015,C015,rowan.brown15,3e895be68230f96cbfa87dd8,buyer
U016,C016,blake.garcia16,64d734e06db6e938f441b657,buyer
U017,C017,hayden.anderson17,ac7183c3d5a5c9b102fb0268,buyer
U018,C018,sage.jackson18,3fb81289c6ab80b63e6612b1,buyer
U019,C019,reese.clark19,20bd9607561e8e0b71067eee,buyer
U020,C020,finley.hall20,832b0dd44dc0016bcdc98a14,buyer
U021,C021,dakota.king21,960b9fab2c92c35f6b74a289,analyst
U022,C022,logan.green22,c02b49475851686bc167d72c,buyer
U023,C023,charlie.nelson23,99f511e8f140d74ad62e9529,buyer
U024,C024,sam.perez24,31599bb9d06f867ae132e3ec,manager
U025,C025,jamie.phillips25,7e915616048d2b96fe738aea,buyer
U026,C026,kendall.evans26,04931b81755e64779920bd8b,analyst
U027,C027,micah.patel27,32dd3ad8e80efb3b3e74ee51,buyer
U028,C028,robin.smith28,ece6ca0c9518b76c18e21c5b,buyer
U029,C029,shawn.davis29,1a27153bc2ab203de7b1cbee,manager
U030,C030,kris.wilson30,9099060eddfd15a0ea383271,manager
U031,C031,bailey.moore31,5237a45093d5019e8b59da70,buyer
U032,C032,jules.harris32,0e14934c39b68efa7b070ca0,manager
U033,C033,corey.walker33,09d8e964f79f24e6100b2beb,buyer
U034,C034,elliot.allen34,9aac5a6310aada1c44b13b83,buyer
U035,C035,ari.scott35,7919c2e10b8abad993c2d0f0,buyer
U036,C036,noel.adams36,dd68674c6e6a9c578e378bbd,manager
U037,C037,kai.mitchell37,7f032067e697178dff4d7ec4,buyer
U038,C038,rory.turner38,1a938b45c5a07c5d3018ca74,buyer
U039,C039,toby.parker39,afe19961d595f485e2720e42,manager
U040,C040,lane.martinez40,147d16f88b5c2b046fb86a3f,buyer
U041,C041,alex.kim41,baf733bec6146608214de138,buyer
U042,C042,jordan.johnson42,a95e56c9e5f53689f1919b15,buyer
U043,C043,taylor.lee43,dc7ebe055282d116d9885f8d,buyer
U044,C044,morgan.thomas44,55b23a131c518a01d7569c45,manager
U045,C045,riley.white45,1e796f12b34ca31c8fd3a66b,buyer
U046,C046,casey.lewis46,d36f19865519165537cc6e06,buyer
U047,C047,avery.young47,7bdd9f7a5d60909e7ec1ee8b,buyer
U048,C048,parker.wright48,1d86cd93fa2c330252b25d3e,buyer
U049,C049,drew.baker49,206ec5a5c780ad1bb002e64e,manager
U050,C050,quinn.carter50,39b29efa7c6848ebe468fe69,buyer
U051,C051,harper.roberts51,a7cde4959d919cb2fb66020f,manager
U052,C052,emerson.campbell52,1614813e6b01a81994b53465,analyst
U053,C053,cameron.edwards53,1911e40374add4240f056baf,buyer
U054,C054,skyler.nguyen54,ea1d3aaf45b3216e0e496541,buyer
U055,C055,rowan.brown55,845bf7db9dea6e3fdf072a7b,buyer
U056,C056,blake.garcia56,ec5fb2ed389349479b9a176b,buyer
U057,C057,hayden.anderson57,b303c5f7aba0af2bbe5cdc19,buyer
U058,C058,sage.jackson58,dac709fba8e3937e2bdb0c60,buyer
U059,C059,reese.clark59,1e8173ac7f2f7a86aa21dd5d,buyer
U060,C060,finley.hall60,84fd0bccb56886e9268d8994,buyer
U061,C061,dakota.king61,37f753129fc1988e59f839e6,buyer
U062,C062,logan.green62,2d72aedeadf3a277ab7030be,buyer
U063,C063,charlie.nelson63,ecc68ed1b564823afa7d8748,buyer
U064,C064,sam.perez64,7278cbc7ca92d95d40d03f8c,buyer
U065,C065,jamie.phillips65,f76afe9393905511c20a4a5f,buyer
U066,C066,kendall.evans66,9ab0a628efeef94f21ff33da,buyer
U067,C067,micah.patel67,756f36a7bfd2dadc1118f020,buyer
U068,C068,robin.smith68,41fa8302aeaf387e66e41a50,manager
U069,C069,shawn.davis69,27835d6357803a4d619ca3af,analyst
U070,C070,kris.wilson70,d983439e0923c02132559161,buyer
U071,C071,bailey.moore71,9f1b4dfdfe68b0adc5c9b8ae,analyst
U072,C072,jules.harris72,88665defd678ba8bb95a07db,analyst
U073,C073,corey.walker73,0e2fa6ae60da733038387453,buyer
U074,C074,elliot.allen74,407b5f3d949bb4de721fc702,buyer
U075,C075,ari.scott75,8c8026ecea0f2b1d104de20e,buyer
U076,C076,noel.adams76,e1c6a40dd2e70cb1603406f1,buyer
U077,C077,kai.mitchell77,186e145f87b323491dafddbb,analyst
U078,C078,rory.turner78,5dc6ceb2928dbe4a1f3c985a,buyer
U079,C079,toby.parker79,ee6d5d5edaa396bcc3e387a4,manager
U080,C080,lane.martinez80,d470004ba5f2adb32dea782b,buyer
